account_id,contract_type,customer_id,has_device_protection,has_internet_service,has_multiple_lines,has_online_backup,has_online_security,has_phone_service,has_premium_tech_support,has_unlimited_data,internet_type,num_referrals,paperless_billing,payment_method,tenure_months,avg_gb_download_monthly,avg_long_distance_fee_monthly,stream_movie,stream_music,stream_tv,total_charges_quarter,total_long_distance_fee,total_monthly_fee,total_refunds,age,gender,married,num_dependents,senior_citizen,zip_code,area_id,city,latitutde,longitude,population,status
AAJU-HMJLK,One Year,0334-ZFJSR,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Cable,0,Yes,Credit Card,55,13,35.38,No,No,No,3462.1,1945.9,66.05,44.53,41,Female,Yes,0,No,92123,371,San Diego,32.808814,-117.134694,25232,0
AAMB-TJYWC,Two Year,4006-HKYHO,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,0,Yes,Bank Withdrawal,63,47,29.58,Yes,Yes,Yes,5309.5,1863.54,86.7,0.0,24,Male,No,0,No,93311,696,Bakersfield,35.16207,-119.194488,20440,0
AANL-MWPZF,Two Year,3258-SYSWS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,0,No,Bank Withdrawal,72,26,24.67,Yes,No,Yes,7845.8,1776.24,113.8,0.0,75,Male,No,0,Yes,92040,329,Lakeside,32.909873,-116.906774,42277,0
ABBQ-EXMMW,Two Year,1820-DJFPH,No,No,Yes,No,No,Yes,No,No,None,4,Yes,Bank Withdrawal,72,0,48.29,No,No,No,1709.15,3476.88,24.05,0.0,59,Female,Yes,3,No,95555,1310,Orick,41.336354,-124.044354,494,0
ABHW-EXJZF,Two Year,0582-AVCLN,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,38,0,43.19,No,No,No,743.05,1641.22,20.3,0.0,43,Female,No,0,No,93304,690,Bakersfield,35.339796,-119.023552,44588,0
ABJG-QLGHV,Month-to-Month,2371-JUNGC,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,11,0,28.62,No,No,No,208.0,314.82,20.25,0.0,46,Male,No,0,No,95014,1067,Cupertino,37.306612,-122.080621,54431,0
ABRO-HZAVE,One Year,4488-KQFDT,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,61,30,15.44,Yes,Yes,Yes,6423.0,941.84,103.95,0.0,21,Female,No,0,No,91945,304,Lemon Grove,32.733564,-117.033713,24961,0
ABZW-YNPHD,Month-to-Month,2700-LUEVA,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,1,0,36.28,No,No,No,20.75,36.28,20.75,0.0,49,Male,No,0,No,94618,1006,Oakland,37.84551,-122.235181,15438,0
ACCA-SYCSE,Month-to-Month,3589-PPVKW,No,Yes,No,No,No,Yes,No,Yes,DSL,0,Yes,Credit Card,9,26,38.65,No,No,No,348.15,347.85,44.4,0.0,19,Male,No,0,No,91766,271,Pomona,34.042286,-117.756106,69974,0
ACDG-SFELI,Month-to-Month,1600-DILPE,No,Yes,No,No,No,Yes,No,Yes,DSL,0,Yes,Bank Withdrawal,12,13,36.11,No,No,No,524.35,433.32,45.0,0.0,47,Female,No,0,No,95974,1505,Richvale,39.495768,-121.747472,74,0
ACIS-YWVPE,Two Year,4312-GVYNH,Yes,Yes,No,No,Yes,No,Yes,Yes,Cable,8,Yes,Bank Withdrawal,70,26,0.0,Yes,Yes,No,3370.2,0.0,49.85,0.0,46,Female,Yes,0,No,92683,557,Westminster,33.752591,-117.993661,88230,0
ACJR-GEHAK,Month-to-Month,5130-IEKQT,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,No,Credit Card,25,22,46.34,Yes,No,Yes,2655.25,1158.5,105.95,0.0,73,Male,No,0,Yes,94109,896,San Francisco,37.794487,-122.42227,56330,1
ACLC-PRMCH,Month-to-Month,4827-USJHP,No,Yes,No,Yes,No,Yes,No,Yes,DSL,0,Yes,Credit Card,20,18,3.94,No,No,No,1023.85,78.8,51.8,0.0,45,Male,No,0,No,91208,186,Glendale,34.195386,-118.238508,16910,0
ACOG-YBIQX,Two Year,0281-CNTZX,No,No,No,No,No,Yes,No,No,None,2,Yes,Bank Withdrawal,63,0,38.36,No,No,No,1234.8,2416.68,19.95,0.0,56,Male,Yes,0,No,94060,878,Pescadero,37.22565,-122.297533,2055,0
ACRR-TDNAI,Two Year,3454-JFUBC,No,No,No,No,No,Yes,No,No,None,0,Yes,Credit Card,68,0,10.48,No,No,No,1396.0,712.64,20.0,0.0,66,Male,No,0,Yes,92059,333,Pala,33.384345,-117.072619,1831,0
ACSF-MFCZF,Month-to-Month,2446-BEGGB,No,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,6,29,47.35,Yes,Yes,Yes,560.6,284.1,98.25,0.0,79,Female,No,0,Yes,90712,134,Lakewood,33.840524,-118.148403,30173,1
ACXJ-PKPUC,Month-to-Month,2792-LSHWX,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,0,Yes,Credit Card,1,9,43.06,No,No,No,83.4,43.06,83.4,0.0,49,Female,No,0,No,94555,961,Fremont,37.555473,-122.080312,33883,0
ADCJ-UZYUN,Month-to-Month,0928-XUTSN,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,13,27,44.99,Yes,Yes,No,1011.8,584.87,80.5,24.99,22,Female,No,0,No,92227,389,Brawley,33.03933,-115.191857,23394,0
